pk,area,continent
1,Skytree,Mussa Tunnel
2,Skytree,Evergreen Rainforest
3,Skytree,Gilda Gorge
4,Skytree,Firefly Summit
5,Skytree,Shua Corridor
6,Skytree,Phantom Grotto
7,Skytree,Twilight Woodland
8,Frost,Horu Fjord
9,Frost,Tintin Ice Cave
10,Frost,Tovana Snowland
11,Frost,Puke Glacier
12,Frost,Warry Woodland
13,Frost,Dodori Snow Mountain
14,Frost,Sinvasa Woodland
15,Frost,Hori Fjord
16,Frost,Puketa Glacier
17,Fire,Primitive Plain
18,Fire,Sabada Rainforest
19,Fire,Chiwawa Gorge
20,Fire,Bata Desert
21,Fire,Babaco Coast
22,Fire,Jujule Volcano
23,Fire,Sinbad Rainforest
24,Fire,Toto Plain
25,Fire,Cobo Coast
26,Soil,Totori Coast
27,Soil,Girka Desert
28,Soil,Paro Oasis
29,Soil,Karusa Salt Lake
30,Soil,Thousand Needles
31,Soil,Giant Rock Mountain
32,Soil,Cora Desert
33,Soil,Papeto Oasis
34,Soil,Gysean Salt Lake
35,Lightning,Giant Falls Coast
36,Lightning,Rabo Sea
37,Lightning,Ancient Ruins
38,Lightning,Arc Slope
39,Lightning,Northeast Coast
40,Lightning,East Ancient Ruins
41,Lightning,Temple Forest
42,Lightning,Giant Peak Forest
43,Lightning,Storm Summit
44,Other,World Boss
45,Other,Hero Training Ground
46,Other,Ancient Ruins