pk,name,description,related_class
1,Aimed Shot,Inflict xx%(+xx) ATK DMG to the enemy and gain 2 layer of Concentration(Each layer of Concentration increases Hit rate by 1%),3
2,Arrow Barrage,Inflict xx%(+xx) ATK DMG on all enemy units,3
3,Aspect of the Eagle,Inflict xx%(+xx) ATK DMG on enemy units and command Hawks to aid. Heal yourself for xx%(+xx) of ATK over 10 seconds,3
4,Boar's Rush,Summon a boar to ram into the enemy and inflict xx%(+xx) ATK DMG and stun the target for x seconds (The Stun effect has a 100% hit rate for enemy units at Lv x or lower),3
5,Burning Shot,"Fire 3 burning shots to inflict xx%(+xx) ATK DMG on 3 enemy units, apply the Scorch state and reduce their healing effects by x% for 10s.",3
6,Explosive Shot,"Fire an explosive charge into the enemy target and inflict xx%(+xx) ATK DMG on 3 enemy units. If the targets are in the Scorch effect, the dmg dealt increases by 20%",3
7,Flaying Arrow,Inflict xx%(+xx) ATK DMG on enemy units and heal yourself for xx%(+xx) of ATK,3
8,Hawk Call - Gal,"Summon Hawk - Gal. It inflicts xx%(+xx) ATK DMG on the enemy upon each strike and lasts for 12 seconds. For each Hawk present on the battlefield when summoned, increase DMG by 25%",3
9,Hawk Call - Gal II,"Summon 3 Hawk - Gal. It inflicts xx%(+xx) ATK DMG on the enemy upon each strike and lasts for 10 seconds. For each Hawk present on the battlefield when summoned, increase DMG by 25%",3
10,Hawk Call - Pan,Summon Hawk - Pan and increase Hunter's Impale rate by x%. Pan inflicts xx%(+xx) ATK DMG upon each strike and lasts for 22 seconds.,3
11,Hawk Call - Sheen,Summon Hawk - Sheen and increase Hunter's Crit rate by x%. Sheen inflicts xx%(+xx) ATK DMG upon each strike and lasts for 22 seconds.,3
12,Lunar Shot,Inflict xx%(+xx) ATK DMG to the enemy and lower the target's Healing by x% for 10 seconds,3
13,Lunar Shot II,Inflict xx%(+xx) ATK DMG on the enemy and lower the target xx%'s healing for 10 seconds. The effect doubles on none player units,3
14,Multi-Shot,Inflict xx%(+xx) ATK DMG on 3 enemy units,3
15,Numbing Shot,Fire a spearhead Arrow to inflict xx%(+xx) ATK DMG on the target and interrupt its skill casting (The Interrupted effect has a 100% hit rate for enemy units at Lv x or lower),3
16,Piercing Shot,"Inflict xx%(+xx) ATK DMG to the enemy and release up to 3 layers of Concentration, each dealing a bonus 25% of DMG",3
17,Quick Shot,Inflict xx%(+xx) ATK DMG to the enemy and release 1 layer of Concentration.,3
18,Quick Shot II,Inflict xx%(+xx) ATK DMG to the enemy and release 1 layer of Concentration. Next skill increase 20% DMG,3
19,Scatter Shot,Inflict xx%(+xx) ATK DMG on the enemy and remove x random buffs. Successful removal increases DMG by 10%,3
20,Steady Shot,Inflict xx%(+xx) ATK DMG on the enemy and shorten the next skill's charging time by x%,3
21,Storm Shot,Inflict xx%(+xx) ATK DMG on the enemy. ,3
22,Storm Shot II,"Inflict xx%(+xx) ATK DMG on the enemy. If you are in possession of any Concentration Point, DMG increase by 20%",3
23,Sunder Armor Shot,Deal xx%(+xx) ATK DMG to enemy. Skill ignores 20% of enemy's Armor.,3
24,Sunder Armor Shot II,Deal xx%(+xx) ATK DMG to enemy. Skill ignores 20% of enemy's Armor. Get bonus 5% Armor Resistance for each Concentration,3
25,Volley,"Launch 4 random attacks, each inflicting xx%(+xx) ATK DMG. If a same target is hit consecutively, the DMG dealt decreases (by 25% every time to a maximum 50%)",3
26,Weakpoint Shot,"Inflict xx%(+xx) ATK DMG to the enemy. The lower the enemy's HP, the higher the DMG",3
27,Weakpoint Shot II,"Inflict xx%(+xx) ATK DMG. The lower the enemy's HP, the higher the DMG. For every 10% of the enemy's HP dropped, deal an additional 5% of skill bleeding DMG within 3 seconds",3
28,Song of Protection,"Sing the Song of Protection to heal the teammate with the lowest HP for xx%(+xx) of ATK over 3 seconds. The lower the teammate's HP, the higher the heal",1
29,Seed of Replenishment,Throw 2 Seeds to heal 2 teammates with the lowest HP for xx%(+xx) of ATK,1
30,Force of Bud,"Heal all party for xx%(+xx) of ATK over 5 seconds and gift them the seed of life. If a target already has a seed of life, increase healing by 10%",1
31,Tranquility,Heal all party for xx%(+xx) of ATK over 4 seconds. Instantly heal for another 25% of the HP restored for each layer of seed of life the teammates own,1
32,Ukaka Transform,"Transform into Ukaka and increase your DMG by xx%. For the first 10 seconds after the transformation, each attack inflicts a bonus xx%(+xx) ATK DMG.",1
33,Quills,"Attack 3 random enemy units and inflict xx%(+xx) ATK DMG. At the same time, heal the teammate with the lowest HP for xx%(+xx)",1
34,Flower Seed,"Throw Flower Seeds at 3 random enemy units and inflict xx%(+xx) ATK DMG. If the targets are killed within xx seconds, the seeds will heal the teammate with the lowest HP for xx%(+xx) of ATK",1
35,Mend,Heal the most injured teammate for xx%(+xx) of ATK and another same amount of HP over 5 seconds.,1
36,Mend II,"Heal the most injured teammate for xx%(+xx) of ATK and another same amount of HP over 5 seconds. Also, obtain a shield of 60% of that skill for 10 seconds",1
37,Lily Transform II,Transform into the Lilly form to increase xx% heal effect and Heal over time effect by 10% and restore HP of xx%(+xx) ATK for the teammate with the lowest HP within 5 seconds,1
38,Lily Transform,Transform into the Lilly form to increase xx% heal effect and restore HP of xx%(+xx) ATK for the teammate with the lowest HP within 5 seconds,1
39,Quills Thrust,Inflict xx%(+xx) ATK DMG on all enemy units and lower the enemy's Healing by xx%,1
40,Extended Healing,Cast a Branch Shield for the teammate with the lowest HP. The shield's value equals to xx%(+xx) ATK. It absorbs 80% of the DMG received by the teammate for 10 seconds,1
41,Tree Ward,"Cast the Tree Ward for the most injured teammate and heal for xx%(+xx) of ATK. If in the Lily state, cast an extra shield with xx% of the HP recovered. It lasts for 10 seconds",1
42,New Bud,Inflict xx%(+xx) ATK DMG on all enemy units and silence the targets for xx seconds(The Silence effect has a 100% hit rate for enemy units at Lv x or lower),1
43,Song of Life,Sing the Song of Life to heal the most injured teammate for xx%(+xx) of ATK,1
44,Purification Seed,Purify the teammate with the lowest HP. Heal for xx%(+xx) of ATK and shield it from any debuff for xx seconds,1
45,Life Bloom,Remove x debuffs for all party members and heal xx%(+xx) of ATK. Increase the HP recovered by 10% for each debuff removed,1
46,Revitalize Nature,"Cast a shield of xx%(+xx) of ATK for teammates, alsting 10 seconds",1
47,Natural Aegis,"Heal the teammate with the lowest HP for xx%(+xx) of ATK over 5 seconds, and shorten your next skill's guiding time by 0.8 seconds",1
48,Seed of Life,Heal all party for xx%(+xx) of ATK over 5 seconds and gift them the seed of life.,1
49,Binding Heal,Heal yourself and the most injured teammate for xx%(+xx) of ATK over 5 seconds,1
50,Luna Blessing,Guide the Luna Blessing and heal 2 most injured teammates for xx%(+xx) of ATK over 4 seconds,1
51,Soul Seal,"Apply bonus Soul Seal to the enemy. Each layer of Soul Seal causes xx%(+xx) ATK DMG every 2 seconds for 24 seconds. 1 layer is added upon inflicting DMG each time, to a max of 10 layers. When the target dies, the seals will be passed on to nearby enemy units (Seal Damage with a Crit Hit)",7
52,Soul Seal II,"Apply Soul Seal to the enemy. Each layer of Soul Seal causes xx%(+xx) ATK DMG every 2 seconds for 24 seconds. 1 layer is added upon inflicting DMG each time, to a max of 11 layers. When the target dies, the seals will be passed on to nearby enemy units (Seal Damage with a Crit Hit)",7
53,Life Tap,Sacrifice 30% of your HP to instantly restore 3 points of energy. xx%(+xx) of the sacrificed HP will return to the warlock over 12 seconds,7
54,Life Tap II,Sacrifice 30% of your HP to instantly restore 3 points of energy. xx%(+xx) of the sacrificed HP will return to the warlock over 12 seconds. Next skill DMG increase 6%,7
55,Dragonfire,"Attack all enemy units and inflict xx%(+xx) ATK DMG over 5 seconds. For enemy targets with the Burn Seal, deal bonus 20% DMG. During the duration of the skill, the DMG received by Warlocks increases by 25%.",7
56,Multi-Ignition,Inflict xx%(+xx) ATK DMG on 3 random enemy units,7
57,Multi-Ignition II,"Deal Warlock of ATK DMG on 3 random enemies, and damage is increased by xx% if enemies are afflicted with Burn Seal",7
58,Incinerate,Inflict xx%(+xx) ATK DMG on all the enemies over 5 seconds,7
59,Soul Twins,"Inflict xx%(+xx) ATK DMG on the enemy. If the target has the Soul Seal, add 1 bonus Soul Seal (deal the same amount of DMG with the Soul Twins over 6 seconds)",7
60,Soul Wave,Inflict xx%(+xx) ATK DMG on the enemy and reset the effective duration of its Soul Seal,7
61,Summon Violent Frog,Summon the Violent Frog for xx%(+xx) of Warlock's ATK for 14 seconds,7
62,Conflagrate,Inflict xx%(+xx) ATK DMG on all enemy units and apply bonus Burn Seal,7
63,Chain Ignition,"Attack an enemy unit twice, each inflicting xx%(+xx) ATK DMG. If the target's HP is below x%, launch 1 bonus attack",7
64,Chain Ignition II,"Attack the enemy target twice, each time of which inflicts xx%(+xx) ATK DMG. If the target's HP is below xx%, launch 2 bonus attacks",7
65,Ignition,Burn the enemy. Inflict xx%(+xx) ATK DMG over 10 seconds and lower its Healing by x%.,7
66,Ignition II,"Burn the enemy, inflict xx%(+xx) ATK DMG within 10 seconds, and lower xx%'s healing. The effect doubles on none player units.",7
67,Soul Lash,Deal xx%(+xx) ATK DMG to enemy over 3 seconds. Skill ignores 20% of enemy's Armor.,7
68,Soul Lash II,"Deal xx%(+xx) ATK DMG to enemy over 3 seconds. Skill ignores 20% of enemy's Armor. For every layer of Soul Seal on the enemy, an additional 1% increase in Armor Resistance is applied.",7
69,Summon Pharmacist Frog,Summon a Pharmacist Frog with xx%(+xx) of Warlock's ATK for 26 secs. Pharmacist Frog's attacks heal warlock for 20% of its DMG. Up to 30% of the warlock's Max HP can be restored,7
70,Drain,Inflict xx%(+xx) ATK DMG on the enemy over 12 seconds and remove x buffs. Successful removal increases DMG by 10%,7
71,Painful Ignition,Inflict xx%(+xx) ATK DMG to the enemy,7
72,Polymorph: Frog,Inflict xx%(+xx) ATK DMG on an enemy unit and transform the target into a Big-Eyed Frog for x seconds. Successful interruption doubles the effective duration of the transformation (The Transformed effect has a 100% Hit rate for enemy units at Lvx or lower),7
73,Summon Elder Frog,Summon the Elder Frog with xx%(+xx) of Warlock's ATK for 14 seconds. The Elder Frog can attack 3 enemy units at the same time,7
74,Soul Rebirth,"Guide the Soul Force to inflict xx%(+xx) ATK DMG on the enemy every 2 seconds, and heal xx%(+xx) of ATK. Lasts for 8 seconds",7
75,Quack quack quack,Imitate a frog's croak to amuse the enemy. Silence the target for x seconds and inflict a bonus xx%(+xx) ATK DMG (The Silence effect has a 100% hit rate for enemy units at Lv x or lower),7
76,Frog Synergy,Attack 3 enemy units. Inflict xx%(+xx) ATK DMG and extend Elder Frog's effective duration by 6 seconds,7
77,Dehydration,Inflict xx%(+xx) ATK DMG on the enemy over 12 seconds,7
78,Stockpile,"Gain a shield of xx%(+xx) Armor for 12 seconds, during which recover 1 point of energy if xx% of HP lost",5
79,Call to Arms,Inspire your party and increase ATK by xx%(+xx) for 6 seconds,5
80,Call to Arms II,"Inspire your party and increase ATK by xx%(+xx) , increasing Block Rate by 15% for 6 seconds. Also, obtain a shield, absorbing 30% of Armor damage for 6 seconds",5
81,Last Stand,"Gain a shield of xx%(+xx) Armor for 12 seconds, during which the DMG received is reduced by 10%",5
82,Unbreakable Will,"Gain a shield of xx%(+xx) Armor for 12 seconds. The lower the HP, the higher the shield points",5
83,Unbreakable Will II,"Obtain a shield of xx%(+xx) Armor for 12 seconds. The lower the HP, the higher the shield value. If the HP is below 30%, gain an additional 20% of Armor for 5 seconds",5
84,Swipe,Inflict xx%(+xx) ATK DMG to enemy units ahead of you. Gain a shield of xx%(+xx) Armor for each enemy target hit for 12 seconds,5
85,Lion's Roar,Roar to interrupt the enemy's skill casting and inflict xx%(+xx) ATK DMG. Successful interruption increases your block rate by xx% for 12 seconds (The Interrupted effect has a 100% hit rate for enemy units at Lv x or lower),5
86,Bramble Shield,"Gain a Thorn Shield of xx%(+xx) Armor for 12 seconds. When the shield breaks, inflict xx%(+xx) ATK DMG on the enemy unit in front of it",5
87,Hoo hah hah,Reduce DMG taken by teammates by xx% for 12 seconds. Up to xx%(+xx) of your Armor can be reduced,5
88,Hoo hah hah II,Reduce DMG taken by teammates by xx% for 12 seconds. Up to xx%(+xx) of your Armor can be reduced and obtain a shield of that value,5
89,Powerful Knock up II,"Attack the enemy with heavy punches, inflict xx%(+xx) ATK DMG, and knock the target into the air (This effect has a 100% hit rate on any enemy target Lv. x or lower). If the skill casting is interrupted, cause an additional control effect of 1 second.",5
90,Powerful Knock up,"Attack the enemy with heavy punches, inflict xx%(+xx) ATK DMG, and knock the target into the air (This effect has a 100% hit rate on any enemy target Lv. x or lower).",5
91,Safeguard,Gain a shield with xx%(+xx) Armor and take xx% DMG received by the teammate with the lowest HP upon every attack for 12 seconds,5
92,Safeguard II,Gain a shield with xx%(+xx) Armor and take xx% DMG received by the teammate with the lowest HP upon every attack for 12 seconds. 30% DMG reduction,5
93,Giant's Return,Transform into a giant and gain Control Immunity for xx seconds. Obtain a shield of xx%(+xx) Armor for 12 seconds,5
94,Fearless Shield,"Gain a shield of xx%(+xx) Armor for 12 seconds, during which convert xx% of the first skill DMG received into a shield for 12 seconds",5
95,Resolution,Gain a shield of xx%(+xx) Armor for 12 seconds,5
96,Unwavering Will,Remove x random debuffs for yourself and gain a shield of xx%(+xx) Armor for 12 seconds,5
97,Come here,"Inflict xx%(+xx) ATK DMG to the enemy. If in the Overwhelming Assault state, the attack will aim at the enemy unit with the lowest HP, and the target will be pulled over and stunned for 1 seconds (The Pulled effect has a 100% hit rate for enemy units at Lv x or lower)",5
98,Overwhelming Assault,"Enter the Overwhelming Assault state and lower Armor 30% to increase ATK by 30%. Inflict xx%(+xx) ATK DMG on the enemy with the lowest HP, and lower its healing by xx%. In the Overwhelming Assault state, the skill's DMG increases by 50%",5
99,Shield of Protection,"Obtain a shield with xx%(+xx) Armor for 12 seconds. If in the Protection Stance, the shield effect increases by 50%",5
100,Final Blow,"Inflict xx%(+xx) ATK DMG on the enemy. If in the Overwhelming Assault state, DMG increases by 20%. If the target is killed within x seconds, gain a shield with HP of xx%(+xx) of Armor for 12 seconds",5
101,Protection Stance,"Enter the Protection stance to increase your Block by xx%(+xx) for x seconds, during which Armor increases by 1% upon each successful block for up to 10% of Armor",5
