pk,name,description,related_class
102,Hoo kham kham II,Taunt all enemies to attack you and gain a shield (xx%(+xx) of Armor) for 12 seconds (The Taunt effect has a 100% hit rate for enemy units at Lv x or lower). Gain an additional shield of 5% skill for each enemy taunted,5
103,Hoo kham kham,Taunt all enemies to attack you and gain a shield (xx%(+xx) of Armor) for 12 seconds (The Taunt effect has a 100% hit rate for enemy units at Lv x or lower),5
104,Cloak of Bush,Disguise as a bush to gain Control Immunity for 6 seconds and increase DMG mitigation by xx% and ATK by xx%(+xx),4
105,Rupture,Inflict bleeding DMG of xx%(+xx) ATK over 6 seconds and gain 3 Technique Points (Each Technique Point increases Evasion by 1%),4
106,Lacerations,Deal xx%(+xx) ATK DMG to enemy. Skill ignores 20% of enemy's Armor.,4
107,Backstab,"Create a phantom and instantly move it behind the enemy, inflicting xx%(+xx) ATK DMG. The phantom will launch a bonus attack for each Technique Point",4
108,Scatter Blade,Inflict xx%(+xx) ATK DMG to the enemy and remove x buffs. Successful removal increases DMG by 10%,4
109,Poison Coat,Apply Bonus Poison effect to the enemy. Each Layer of Poison causes xx%(+xx) ATK DMG per second for 12 seconds. One layer is added upon each basic attack dealt by an Assassin to a max of 15 layers. When the target dies the seals will be passed on the nearby enemy units.,4
110,Roundhouse,Charge 0.5 seconds and then kick the enemy. Inflict xx%(+xx) ATK DMG and interrupt the target (The Interrupted effect has a 100% hit rate for enemy units at LvX or lower),4
111,Shiv,Inflict xx%(+xx) ATK DMG to the enemy and reset the effective duration of Poison,4
112,Pounce,Inflict xx%(+xx) ATK DMG on the enemy and gain 2 Technique Points (Each Technique Point increases Evasion by 1%),4
113,Pursuing,"Inflict xx%(+xx) ATK DMG to the enemy. The lower the enemy's HP, the higher the DMG",4
114,Fish Bone Throwing Knife,Throw between 1 and 3 fish bone throwing knives with a barb to inflict xx%(+xx) ATK DMG to the enemy. If the enemy targets have Poison DMG increases by 25%,4
115,Reverberating Slam,Inflict xx%(+xx) ATK DMG to the enemy,4
116,Reverberating Slam II,"Inflict xx%(+xx) ATK DMG to the enemy. If the enemy has one layer of Poison, dealing a bonus 2% of DMG",4
117,Double Throw Knives,Hurl throwing knives at 3 random enemy units and inflict xx%(+xx) ATK DMG,4
118,Reckless Lunge,"Attack the enemy 3 times, each time inflicting xx%(+xx) ATK DMG",4
119,Bounce Bounce Bounce,Toss 1 knife which will bounce between enemies and inflict xx%(+xx) ATK DMG (by default 1 enemy bounces once),4
120,Fan of Knives,Inflict xx%(+xx) ATK DMG on 3 random enemy units and gain Combo,4
121,Zeal,"Inflict xx%(+xx) ATK DMG to the enemy and heal for xx%(+xx) of ATK over 6 seconds. The lower your HP, the higher your healing",4
122,Ambush,Cast up to 2 Technique Points to inflict xx%(+xx) ATK DMG tot the enemy and stun the target for 1 second. Each Technique Point extends the stun by 0.5 seconds (The Stun effect has a 100% hit rate for enemy units at LvX or lower),4
123,Fatal Knife,"Inflict xx%(+xx) ATK DMG on 3 enemy units. If in the Combo state, DMG increases by xx%",4
124,Swiftwind Daggers,"Hurl 4 throwing knives randomly, each inflicting xx%(+xx) ATK DMG. If the same target is hit consecutively, the DMG dealt decreases (by 25% every time to a maximum 50%)",4
125,Uppercut II,"Attack the enemy with uppercuts, inflicting xx%(+xx) ATK DMG, and knock the target into the air (This effect has a 100% hit rate for enemy units at Lv x or lower). If the skill casting is interrupted, cause the additional control effect for x second",6
126,Intercept,Inflict xx%(+xx) ATK DMG on an enemy unit and interrupt its skill casting. Successful interruption reduces DMG received from the enemy by xx% for 10 seconds (The Interrupted effect has a 100% hit rate for enemy units at Lv x or lower),6
127,Cleave,Inflict xx%(+xx) ATK DMG on enemy units ahead of you and restore xx%(+xx) HP,6
128,Sacrifice,Restore xx%(+xx) HP over 10 seconds and take xx% of the DMG received every time for the teammate with the lowest HP,6
129,Sacrifice II,"Recover xx%(+xx) HP over 10 sec, take xx% of the damage for the teammate with the lowest HP, and decrease the damage taken by 30%",6
130,Severing Strike,"Consume 20% of your current HP to inflict xx%(+xx) ATK DMG to enemy units in the back row. If the targets are killed within xx seconds, restore xx%(+xx) of your HP. If in the Frenzied state, DMG increases by 50%",6
131,Fevered Pursuit,"Attack 3 times and inflict xx%(+xx) ATK DMG. If in the Frenzied state, attack range increases and attacks focus on the enemy unit with the lowest HP, stunning the target for x seconds (The Stun effect has a 100% hit rate for enemy units at Lv x or lower)",6
132,Frenzy,"Enter the Frenzied state to increase ATK by 30%, at the cost of 30% Max HP. Inflict xx%(+xx) ATK DMG on the enemy with the lowest HP, and lower its healing by xx%. In the Frenzied state, DMG increases by 50%",6
133,Let's charge,Inspire your party and increase ATK by xx%(+xx) for 6 seconds,6
134,Let's charge II,"Inspire your party and increase ATK by xx%(+xx). Damage received is reduced by 15% for 6 seconds. Also, Heal 4.5% HP immediately",6
135,Barbarian Veins,Activate Barbarian Veins to raise Max hP by 10% for x seconds and restore HP of xx%(+xx) over 10 seconds,6
136,Blood Force,"Restore xx%(+xx) HP over 10 seconds. If in the Barbarian Veins state, increase healing by 50%",6
137,Blood Howl,Restore xx%(+xx) HP over 10 seconds and reduce the DMG received by 10% for 10 seconds,6
138,Hoo hoo hoo,Reduce DMG received by other teammates by xx% over 10 seconds. Up to xx%(+xx) of your HP can be restored,6
139,Hoo hoo hoo II,Reduce DMG taken by other teammates by xx% over 10 seconds. Up to xx%(+xx) of your HP can be reduced and recover HP of that value,6
140,Toughen,"Heal xx%(+xx) over 10 seconds, during which healing another xx% of the first skill DMG received",6
141,Uppercut,"Attack the enemy with an uppercut, inflicting xx%(+xx) ATK DMG, and knock the target into the air (This effect has a 100% hit rate for enemy units at Lv x or lower)",6
142,Hoo kham kham,Taunt all the enemies to attack you and restore xx%(+xx) HP over 10 seconds (The Taunt effect has a 100% hit rate for targets at Lv x or lower),6
143,Hoo kham kham II,"Restore xx%(+xx) HP within 10 seconds, and taunt all the enemy targets (The Taunt effect has a 100% hit rate on targets Lv x or lower). Increase the Max HP by 5% skill for each target taunted",6
144,Ancestral Protection,Call for Ancestral Protection to increase healing by xx%. Heal the teammate with the lowest HP for xx%(+xx) of ATK,8
145,Ancestral Protection II,Summon the Ancestral Protection to increase your own xx% Totem heal effect by 10% and restore HP of xx%(+xx) ATK for the teammate with the lowest HP,8
146,Thunder Heart,Guide the Thunder Force and inflict xx%(+xx) ATK DMG on 3 enemy units upon the next 3 basic attacks. Heal the teammate with the lowest HP for xx%(+xx),8
147,Electric Shock,"Heal the teammate with the lowest HP for xx%(+xx) of ATK and cast an electric current to travel back and forth between enemy units 5 times, each time inflicting xx%(+xx) ATK DMG",8
148,Drums of Recovery,"Play the drums and heal the teammate with the lowest HP for xx%(+xx) of ATK. The lower the teammate's HP, the higher the healing",8
149,Drums of Recovery II,"Sound the Drums of Recovery and restore xx%(+xx) ATK HP for the teammate with the lowest HP. The lower HP the teammate has, the higher HP it restores. If the teammate's HP is below 30%, provide an additional shield of 30% of the restored HP for 5 seconds",8
150,Fury of the Ancestors,Inflict xx%(+xx) ATK DMG on all enemy units and lower the enemy's Healing by xx%,8
151,Spring Totem,Summon 1 Spring Totem to heal the 2 teammates with the lowest HP for xx%(+xx) of ATK over 5 seconds,8
152,Recovery Totem,Summon 1 Recovery Totem to heal the entire party for xx%(+xx) of ATK over 5 seconds,8
153,Font of Purge,Remove x debuffs for all party members and heal xx%(+xx) of ATK. Increase the HP recovered by 10% for each debuff removed,8
154,Rain Dance,Dance in the Rain to heal the teammate with the lowest HP for xx%(+xx) of ATK,8
155,Riptide,"Heal the teammate with the lowest HP for xx%(+xx) of ATK, and another same amount of HP over 5 seconds",8
156,Riptide II,"Heal the teammate with the lowest HP for xx%(+xx) of ATK, and another same amount of HP over 5 seconds. Also increases 10% Healing in 8 seconds",8
157,Ancestral Gift,Pray for Ancestor's Strength to heal the party for xx%(+xx) of ATK and obtain 1 Ancestral Mark,8
158,Blessing of Spirits,"Pray for Ancestor's Strength to heal the party for xx%(+xx) of ATK and obtain 1 Ancestral Mark. For those who already own the Ancestral Mark, healing increases by 10%",8
159,Faith Protection,"Heal the teammate with the lowest HP for xx%(+xx) of ATK. If in the Ancestral Protection state, provide the target with extra protection for 10 seconds and heal for another xx% of the HP restored when it is attacked in the next time.",8
160,Chain Heal,Release the Ancestral Mark to heal the party for xx%(+xx) of ATK. Increase healing by 25% for each Ancestral Mark you own,8
161,Chain Heal II,"Release the Ancestral Mark to heal the party for xx%(+xx) of ATK. Increase healing by 25% for each Ancestral Mark you own and give 30% Damage Reduction to the targets, Up to 10% of that skill can be reduced from each Ancestral Mark for 10 seconds",8
162,Drums of Purge,Purity the teammate with the lowest HP. Heal them for xx%(+xx) of ATK and shield from any debuff for x seconds,8
163,Life Totem,Summon a Life Totem with HP of xx%(+xx) of ATK. Links to the teammate with the lowest HP to transfer 80% of their DMG received to the totem for 10 seconds,8
164,Drums of Rain,Heal the 2 teammates with the lowest HP for xx%(+xx) of ATK,8
165,Drums of Rain II,Sound the hand drum to restore HP of xx%(+xx) ATK for 2 teammates with the lowest HP and reduce the DMG it receives by 15% for 5 seconds,8
166,Dance With Me,Heal yourself and the teammate with the lowest HP for xx%(+xx) of ATK,8
167,Surge,Use the Life Force and heal the 2 teammates with the lowest HP for xx%(+xx) of ATK. Shorten the next skill's casting time by xx%,8
168,Ancestral Aegis,"Protect the teammate with the lowest HP. Within 10 seconds, heal xx%(+xx) of ATK for each basic attack it receives. Can be triggered up to xx times",8
169,Charm Dance,Inflict xx%(+xx) ATK DMG on all enemy units and silence the targets for xx seconds (The Silence effect has a 100% hit rate for enemy units at Lv x or lower),8
170,Whirlwind,Spin 3 times to inflict xx%(+xx) ATK DMG on all enemy units nearby. Restore xx%(+xx) HP per hit,6
171,Battle Shout,Remove x debuffs for yourself and restore xx%(+xx) HP over 10 seconds,6
172,Bloody Combat,"Restore xx%(+xx) HP over 10 seconds, during which recovers 1 point of energy if the damage taken is more than xx% of HP",6
173,Death Denied,"Restore xx%(+xx) HP over 5 seconds. The lower the HP, the higher the healing",6
174,Death Denied II,"Restore xx%(+xx) HP over 5 seconds. The lower the HP, the higher the healing. If the HP is below 30%, restore additional 20% of the damage received within the next 5 seconds",6
175,Boil Blood,Restore xx%(+xx) HP over 10 seconds,6
176,Sacrifice II,Restore xx%(+xx) HP over 10 seconds and take xx% of the DMG received every time for the teammate with the lowest HP. 30% DMG reduction,6
177,Rising Rage,Immune to control effects for xx seconds and restore xx%(+xx) HP over 10 seconds,6
178,Magic Blast,Cast a Magic Blast to inflict xx%(+xx) ATK DMG on the enemy,2
179,Magic Intellect,Break through the upper limits of magic control. Shorten the next skill's casting time by xx% and inflict xx%(+xx) ATK DMG on the enemy,2
180,Magic Intellect II,Break through the upper limits of magic control. The next skill's casting time become zero and inflict xx%(+xx) ATK DMG on the enemy,2
181,Mirror Image,Inflict xx%(+xx) ATK DMG on the enemy and link yourself with 1 magic clone with HP of xx%(+xx) of ATK. Your DMG received will be transferred to the mirror Image. It lasts for 12 seconds,2
182,Meteorite,Form 3 huge fireballs to inflict xx%(+xx) ATK DMG on 3 random enemy units,2
183,Lightning Wave,Attack all enemy units and inflict xx%(+xx) ATK DMG,2
184,Fireball,"Throw 1 fireball and inflict xx%(+xx) ATK DMG on the enemy. The lower the enemy's HP, the higher the DMG",2
185,Fireball II,"Release 1 fireball to inflict xx%(+xx) ATK DMG. The lower the target's HP, the higher the damage. For each 10% of the enemy's HP dropped, summon 1 additional fireball to inflict 4% skill DMG",2
186,Scorch,Scorch the enemy and inflict xx%(+xx) ATK DMG on the enemy target. Crits cast the skill again,2
187,Fire Blast,Control fire to attack the enemy and inflict xx%(+xx) ATK DMG. Next skill's Crit rate increases by xx%,2
188,Fire Blast II,"Control fire to blast the enemy, inflict xx%(+xx) ATK DMG, and increase the next 2 skills xx%'s Crit. rate and 30% Crit DMG",2
189,Purification Wave,Inflict xx%(+xx) ATK DMG on the enemy and remove x random buffs. Successful removal increases DMG by 10%,2
190,Seal Storm,Inflict xx%(+xx) ATK DMG on 3 random enemy units and apply bonus Magic Seal,2
191,Terminal Storm,"Inflict xx%(+xx) ATK DMG on 3 random enemy units. If the targets have the Magic Seal, deal a bonus 50% of DMG",2
192,Lightning Blast,"Cast Lightning Charge, deal xx%(+xx) ATK DMG to enemy. Skill ignores 20% of enemy's Armor",2
193,Lightning Blast II,"Cast Lightning Charge, deal xx%(+xx) ATK DMG to enemy. Skill ignores 20% of enemy's Armor and restore 1 point of energy",2
194,Serenity,Inflict bonus xx%(+xx) ATK DMG on the first target of the next skill,2
195,Serenity II,"Inflict bonus xx%(+xx) ATK DMG on the first target of the next skill, and increase the next 2 skills' Crit. rate by 15%",2
196,Frost Missile,Fire 3 Frost Missiles to inflict xx%(+xx) ATK DMG on the enemy and apply 3 layers of Frost (Every 4 layers of Frost will stun the target for 2 seconds) (The Frost effect has a 100% Hit rate for enemy units at Lv x or lower),2
197,Cone of Cold,"Cast Ice to attack the enemy. Inflict xx%(+xx) ATK DMG on the target, and apply 1 extra layer of Frost (Every 4 layers of Frost will stun the target for 2 seconds) (The Frost effect has a 100% Hit rate for enemy units at Lv x or lower)",2
198,Frostbolt,"Launches a bolt of frost at the enemy, inflicting xx%(+xx) ATK DMG and adds 2 layers of Frost to the target (Every 4 layers of Frost will stun the target for 2 seconds) (The Frost effect has a 100% Hit rate for enemy units at Lv x or lower)",2
199,Magic Missile,"Launches three waves of Magic Missiles at the enemy for 2 sec, causing xx%(+xx) ATK DMG per wave, with a 50% chance of recovering 1 point of energy - up to 2 points",2
200,Blizzard,"Control a blizzard to inflict xx%(+xx) ATK DMG on all enemy units for 3 seconds. The DMG dealt to the enemy in the Cold state increases by 30%. Afterwards, apply bonus Cold state to all enemy units",2
201,Frost Nova,Inflict xx%(+xx) ATK DMG on all enemy units and apply bonus Cold state to all targets. The DMG dealt to the enemy in the Cold state increases by 30%,2
202,Magic Suppression,Inflict xx%(+xx) ATK DMG on the enemy and lower the target xx%'s healing for 10 seconds.,2
203,Magic Suppression II,Inflict xx%(+xx) ATK DMG on the enemy and lower the target xx%'s healing for 10 seconds. The effect doubles on none player units,2
204,Silence,Silence the enemy target for x seconds and inflict xx%(+xx) ATK DMG (The Silence effect has a 100% hit rate for enemy units at Lv xx or lower),2